Total protocol
Name	ID	Stages_scores	Total_score	Stage_rewards	Cup_reward	Total_reward	Link_to_athlete
Александр. APPLE CITY	15463783	[37.20316622691293, 57.15596330275229]	94.35912952966521	[0.4094974720841479, 0.8462482593434796]	0.5957346561239323	1.8514803875515597	https://www.strava.com/athletes/15463783
Шамиль Танирбергенов	69190664	[34.05797101449275, 57.79220779220779]	91.85017880670054	[0.37487812057944936, 0.8556684626014776]	0.5798944411534523	1.8104410243343794	https://www.strava.com/athletes/69190664
ТimCat Shogun	20656821	[36.959370904325034, 48.74804381846636]	85.70741472279138	[0.4068140024112505, 0.7217610349643138]	0.5411122113107367	1.669687248686301	https://www.strava.com/athletes/20656821
Denis Chernykh	1613761	[92.45901639344262]	92.45901639344262	[1.0177019142288002]	0.5837383262357018	1.6014402404645018	https://www.strava.com/athletes/1613761
Stanislav Nechayev	40994531	[69.76483762597984]	69.76483762597984	[1.0329346054696447]	0.4404590394148216	1.4733936448844662	https://www.strava.com/athletes/40994531
Eduard Lorents	58916860	[83.92857142857143]	83.92857142857143	[0.9238067971422146]	0.5298815163746698	1.4536883135168845	https://www.strava.com/athletes/58916860
Angel Angelov 🇧🇬	3121973	[81.03448275862068]	81.03448275862068	[0.8919513903442071]	0.511609739947957	1.403561130292164	https://www.strava.com/athletes/3121973
Нурсултан Жумажанов	38520988	[64.35950413223141]	64.35950413223141	[0.9529035151698273]	0.40633256425354936	1.3592360794233767	https://www.strava.com/athletes/38520988
Igor Lyashenko 🇰🇿	21047867	[31.614349775784753, 35.17786561264822]	66.79221538843296	[0.34798103569482525, 0.5208416728878559]	0.42169144273076575	1.290514151313447	https://www.strava.com/athletes/21047867
Сергей Гизатулин	14537340	[69.62962962962963]	69.62962962962963	[0.76641749096243]	0.4396054061775039	1.2060228971399338	https://www.strava.com/athletes/14537340
Mikhail Budko	898387	[68.61313868613139]	68.61313868613139	[0.7552289144520296]	0.4331878090070294	1.188416723459059	https://www.strava.com/athletes/898387
Руслан Балтабаев	7639740	[29.25311203319502, 31.11888111888112]	60.37199315207614	[0.3219907508711453, 0.460744556785411]	0.3811574858653328	1.1638927935218892	https://www.strava.com/athletes/7639740
Арсений Никитин	51466600	[66.19718309859155]	66.19718309859155	[0.7286363470417467]	0.41793471714058467	1.1465710641823315	https://www.strava.com/athletes/51466600
Darkhan Zhundubayev	40730525	[66.04215456674473]	66.04215456674473	[0.7269299387348573]	0.4169559473112156	1.143885886046073	https://www.strava.com/athletes/40730525
Alen Kuderbayev	6247920	[63.800904977375566]	63.800904977375566	[0.7022603706782445]	0.402805858601559	1.1050662292798035	https://www.strava.com/athletes/6247920
Iskander Iminov	14843832	[62.389380530973455]	62.389380530973455	[0.6867236368136818]	0.3938942245617015	1.0806178613753832	https://www.strava.com/athletes/14843832
Сергей Гамаюнов	15824536	[62.389380530973455]	62.389380530973455	[0.6867236368136818]	0.3938942245617015	1.0806178613753832	https://www.strava.com/athletes/15824536
Юрий Шкердин	8804295	[61.572052401746724]	61.572052401746724	[0.677727257292105]	0.38873403821373154	1.0664612955058366	https://www.strava.com/athletes/8804295
Илья Позняков	15045028	[61.03896103896104]	61.03896103896104	[0.6718594888307016]	0.3853683755452144	1.0572278643759159	https://www.strava.com/athletes/15045028
